,experiment,model,pollutant,mean_squared_error,root_mean_squared_error,r2_score,best_model,best_mean_squared_error,best_root_mean_squared_error,best_r2_score,best_params,best_score
0,LinearRegression,LinearRegression(),co2,2080.7667527433787,45.61542231245238,0.9927323899777769,,,,,,
1,LinearRegression,LinearRegression(),nox,0.01578452771520847,0.1256364903808144,0.986641578016163,,,,,,
2,LinearRegression,LinearRegression(),pm10 brake wear,0.000695594148845827,0.026374118920749312,0.7231417549587499,,,,,,
3,LinearRegression,LinearRegression(),pm10 exhaust,2.6147098929986904e-06,0.0016170064604072213,0.9855589015669712,,,,,,
4,LinearRegression,LinearRegression(),pm10 tyre wear,7.0455001285080726e-06,0.0026543360993868267,0.987162904506653,,,,,,
5,LinearRegression,LinearRegression(),pm2.5 brake wear,0.00011016229700067735,0.010495822835808412,0.723141754958749,,,,,,
6,LinearRegression,LinearRegression(),pm2.5 exhaust,2.359775678431194e-06,0.0015361561373868197,0.985558901566972,,,,,,
7,LinearRegression,LinearRegression(),pm2.5 tyre wear,3.452295062968956e-06,0.0018580352695707787,0.987162904506653,,,,,,
8,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",co2,2543.5795760294777,50.433912955762985,0.9911158978320365,,,,,,
9,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",nox,0.01966538550741836,0.14023332523839818,0.9833572139234921,,,,,,
10,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 brake wear,0.0007889519210476403,0.028088287969323448,0.6859837814254164,,,,,,
11,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 exhaust,5.103888836151884e-06,0.00225917879685338,0.9718111132437809,,,,,,
12,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 tyre wear,1.2924071886617487e-05,0.0035950065210813577,0.9764519846788334,,,,,,
13,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 brake wear,0.00014424988956663378,0.012010407552062244,0.6374733247204628,,,,,,
14,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 exhaust,4.630395337549906e-06,0.002151835341644408,0.9716634104399929,,,,,,
15,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 tyre wear,6.659624484637771e-06,0.002580624824463597,0.9752366950391531,,,,,,
16,RandomForestRegressor,RandomForestRegressor(random_state=42),co2,3551.592892735624,59.59524219881671,0.9875951535326722,,,,,,
17,RandomForestRegressor,RandomForestRegressor(random_state=42),nox,0.02040407348142192,0.1428428278963348,0.9827320634058989,,,,,,
18,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 brake wear,0.0006847539630022957,0.026167803939236012,0.7274563324081733,,,,,,
19,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 exhaust,2.847750913811529e-06,0.0016875280483036508,0.9842718110451879,,,,,,
20,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 tyre wear,5.578339298293751e-06,0.002361850820499413,0.9898361119920026,,,,,,
21,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 brake wear,0.00010884576146363186,0.010432917207743569,0.7264504524736403,,,,,,
22,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 exhaust,2.4876027456226635e-06,0.0015772136017745547,0.984776639389855,,,,,,
23,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 tyre wear,2.741513495144131e-06,0.0016557516405379556,0.9898058914746416,,,,,,
24,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),co2,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",3818.2737908075123,61.79218227905139,0.9866637022948017,{'n_estimators': 200},0.9860970104345386
25,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),nox,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.02088201103612715,0.1445060934221362,0.9823275855746412,{'n_estimators': 200},0.9801508644466462
26,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 brake wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.0006816034867067964,0.026107536971280848,0.728710275299532,{'n_estimators': 200},0.795184345347204
27,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 exhaust,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.922088188348743e-06,0.0017094116497639597,0.9838612446945157,{'n_estimators': 200},0.9801967733983197
28,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 tyre wear,,,,RandomForestRegressor(random_state=42),5.578339298293751e-06,0.002361850820499413,0.9898361119920026,{'n_estimators': 100},0.9868342123860596
29,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 brake wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.00010880454746797106,0.010430941830341644,0.726554030874059,{'n_estimators': 200},0.7943847642722784
30,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 exhaust,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.5860116885664066e-06,0.0016081081084822644,0.9841744070485651,{'n_estimators': 200},0.9804657240041896
31,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 tyre wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.7908195654340525e-06,0.0016705746213306523,0.9896225506184376,{'n_estimators': 200},0.9868949704172856
32,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),co2,4404.931443143198,66.36965754878653,0.9846146504113518,,,,,,
33,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),nox,0.02221884367014019,0.14905986606105678,0.9811962261339844,,,,,,
34,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 brake wear,0.0007861988634470693,0.028039237925576173,0.6870795449493855,,,,,,
35,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 exhaust,2.709361940715684e-06,0.0016460139552007705,0.9850361362913173,,,,,,
36,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 tyre wear,6.833622296749512e-06,0.0026141197938789095,0.987548951758033,,,,,,
37,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 brake wear,0.000124480350614093,0.011157076257429318,0.6871578357436983,,,,,,
38,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 exhaust,2.4512478461425095e-06,0.0015656461433358783,0.9849991201479688,,,,,,
39,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 tyre wear,3.380136441066406e-06,0.0018385147377887419,0.9874312208304712,,,,,,
40,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),co2,,,,"GradientBoostingRegressor(max_depth=2, random_state=42)",4586.554516948948,67.72410587781096,0.9839802853775405,"{'max_depth': 2, 'n_estimators': 100}",0.9851852752756172
41,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),nox,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=150, random_state=42)",0.02116056509939113,0.14546671474736456,0.9820918456912865,"{'max_depth': 4, 'n_estimators': 150}",0.979931416663567
42,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm10 brake wear,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=150, random_state=42)",0.0007347326368609787,0.027105952055978013,0.7075639742608784,"{'max_depth': 4, 'n_estimators': 150}",0.7834265072727293
43,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm10 exhaust,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=200, random_state=42)",2.716723367900442e-06,0.0016482485758830317,0.9849954789721755,"{'max_depth': 4, 'n_estimators': 200}",0.9814935875900443
44,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm10 tyre wear,,,,"GradientBoostingRegressor(max_depth=6, n_estimators=150, random_state=42)",6.325644846855202e-06,0.002515083467174639,0.9884745006777435,"{'max_depth': 6, 'n_estimators': 150}",0.9860533818138908
45,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm2.5 brake wear,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=150, random_state=42)",0.00011555508679593181,0.010749655194280968,0.7095886759177288,"{'max_depth': 4, 'n_estimators': 150}",0.7816739707427391
46,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm2.5 exhaust,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=200, random_state=42)",2.449141073665154e-06,0.0015649731862447849,0.9850120129449408,"{'max_depth': 4, 'n_estimators': 200}",0.9813515739138852
47,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm2.5 tyre wear,,,,"GradientBoostingRegressor(max_depth=6, random_state=42)",3.1782314663716674e-06,0.00178275950884343,0.9881819890566694,"{'max_depth': 6, 'n_estimators': 100}",0.9858750950614187
48,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",co2,29598.185779199295,172.04123278795493,0.8966207666837613,,,,,,
49,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",nox,0.09184584021193037,0.3030607863316044,0.9222710040396783,,,,,,
50,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 brake wear,0.000668605121358505,0.025857399740857646,0.7338838447217364,,,,,,
51,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 exhaust,1.3551818576348687e-05,0.003681279475447183,0.9251530173455856,,,,,,
52,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 tyre wear,3.408364753416318e-05,0.005838120205525335,0.9378986544351561,,,,,,
53,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 brake wear,0.00010509135120011794,0.010251407279008962,0.7358859804629934,,,,,,
54,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 exhaust,1.2223407901024877e-05,0.003496199064845261,0.9251965183389362,,,,,,
55,XGBoost,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 tyre wear,1.6705202697814778e-05,0.004087199860272896,0.9378829797696543,,,,,,
56,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",co2,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",29598.185779199295,172.04123278795493,0.8966207666837613,"{'max_depth': 6, 'n_estimators': 100}",0.8742937439341741
57,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",nox,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",0.09184584021193037,0.3030607863316044,0.9222710040396783,"{'max_depth': 6, 'n_estimators': 100}",0.9149262045552554
58,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 brake wear,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",0.000668605121358505,0.025857399740857646,0.7338838447217364,"{'max_depth': 6, 'n_estimators': 100}",0.7482677319278997
59,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 exhaust,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",1.3551818576348687e-05,0.003681279475447183,0.9251530173455856,"{'max_depth': 6, 'n_estimators': 100}",0.9150828495247799
60,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm10 tyre wear,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=150, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",3.408364753425728e-05,0.005838120205533394,0.9378986544349847,"{'max_depth': 6, 'n_estimators': 150}",0.9192619094577328
61,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 brake wear,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",0.00010509135120011794,0.010251407279008962,0.7358859804629934,"{'max_depth': 6, 'n_estimators': 100}",0.7480097597833901
62,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 exhaust,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",1.2223407901024877e-05,0.003496199064845261,0.9251965183389362,"{'max_depth': 6, 'n_estimators': 100}",0.9152360898647588
63,XGBoost_Hyperparameter_Tuning,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=None, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=None, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",pm2.5 tyre wear,,,,"XGBRegressor(base_score=None, booster=None, callbacks=None,
             colsample_bylevel=None, colsample_bynode=None,
             colsample_bytree=None, device=None, early_stopping_rounds=None,
             enable_categorical=False, eval_metric=None, feature_types=None,
             gamma=None, grow_policy=None, importance_type=None,
             interaction_constraints=None, learning_rate=None, max_bin=None,
             max_cat_threshold=None, max_cat_to_onehot=None,
             max_delta_step=None, max_depth=6, max_leaves=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             multi_strategy=None, n_estimators=100, n_jobs=None,
             num_parallel_tree=None, random_state=42, ...)",1.6705202697814778e-05,0.004087199860272896,0.9378829797696543,"{'max_depth': 6, 'n_estimators': 100}",0.9192783755380584
64,DecisionTree,DecisionTreeRegressor(max_depth=5),co2,8992.486315132224,94.82872094008347,0.9685914417930825,,,,,,
65,DecisionTree,DecisionTreeRegressor(max_depth=5),nox,0.03207802610426196,0.17910339501042954,0.9728524149191746,,,,,,
66,DecisionTree,DecisionTreeRegressor(max_depth=5),pm10 brake wear,0.0011492360087090685,0.03390038360710788,0.5425846162775521,,,,,,
67,DecisionTree,DecisionTreeRegressor(max_depth=5),pm10 exhaust,5.923977470442e-06,0.0024339222400154856,0.9672817462484966,,,,,,
68,DecisionTree,DecisionTreeRegressor(max_depth=5),pm10 tyre wear,1.3194595650974389e-05,0.003632436599718485,0.975959082921268,,,,,,
69,DecisionTree,DecisionTreeRegressor(max_depth=5),pm2.5 brake wear,0.00018200624419476154,0.013490968986502101,0.5425846162775525,,,,,,
70,DecisionTree,DecisionTreeRegressor(max_depth=5),pm2.5 exhaust,6.046959396808384e-06,0.002459056607076865,0.9629944758444634,,,,,,
71,DecisionTree,DecisionTreeRegressor(max_depth=5),pm2.5 tyre wear,6.272386819742585e-06,0.0025044733617554382,0.9766766087175063,,,,,,
72,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),co2,,,,DecisionTreeRegressor(max_depth=9),7462.084143691934,86.38335570983529,0.973936762764079,{'max_depth': 9},0.976814672896379
73,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),nox,,,,DecisionTreeRegressor(max_depth=6),0.0327507992482246,0.1809718189338456,0.9722830480227684,{'max_depth': 6},0.9705747417807965
74,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm10 brake wear,,,,DecisionTreeRegressor(max_depth=6),0.001089380416691494,0.03300576338598297,0.5664081550312738,{'max_depth': 6},0.7466595536216871
75,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm10 exhaust,,,,DecisionTreeRegressor(max_depth=7),7.662939975163825e-06,0.0027682015777691885,0.9576774192945668,{'max_depth': 7},0.9701817941668537
76,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm10 tyre wear,,,,DecisionTreeRegressor(max_depth=6),1.0119838856465147e-05,0.003181169416498459,0.981561374578353,{'max_depth': 6},0.9771129376597691
77,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm2.5 brake wear,,,,DecisionTreeRegressor(max_depth=7),0.00022226395666985357,0.014908519600210262,0.4414095325267051,{'max_depth': 7},0.7493256384358314
78,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm2.5 exhaust,,,,DecisionTreeRegressor(max_depth=8),5.580183912889584e-06,0.00236224129015001,0.9658509976617732,{'max_depth': 8},0.969164479413409
79,DecisionTree_Hyperparameter_Tuning,DecisionTreeRegressor(),pm2.5 tyre wear,,,,DecisionTreeRegressor(max_depth=10),4.505225984759026e-06,0.002122551762562936,0.9832476613005023,{'max_depth': 10},0.9787343591264186
